doi,title,is_oa,oa_status,pdf_url,query_label,search_letter,reason
10.4018/ijthi.293197,Exploring User Acceptance Determinants of COVID-19-Tracing Apps to Manage the Pandemic,TRUE,hybrid,https://www.igi-global.com/ViewTitle.aspx?TitleId=293197&isxn=9781799893646,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1073/pnas.2412815122,Testing theories of political persuasion using AI,TRUE,hybrid,https://www.pnas.org/doi/pdf/10.1073/pnas.2412815122,Venue: PNAS,Venue,Previously failed — not retried
10.1073/pnas.2413443122,Scaling language model size yields diminishing returns for single-message political persuasion,TRUE,hybrid,https://www.pnas.org/doi/pdf/10.1073/pnas.2413443122,Venue: PNAS,Venue,Previously failed — not retried
10.1145/3555155,"""Money Doesn't Buy You Happiness"": Negative Consequences of Using the Freemium Model for Mental Health Apps",TRUE,hybrid,https://dl.acm.org/doi/pdf/10.1145/3555155,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.3233/prm-230019,Guidance to best tools and practices for systematic reviews1,TRUE,gold,https://content.iospress.com:443/download/journal-of-pediatric-rehabilitation-medicine/prm230019?id=journal-of-pediatric-rehabilitation-medicine%2Fprm230019,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.3390/designs9040079,Artificial Intelligence in Generative Design: A Structured Review of Trends and Opportunities in Techniques and Applications,TRUE,gold,https://www.mdpi.com/2411-9660/9/4/79/pdf?version=1750671943,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1145/3708523,The Impact of Generative AI on Creativity in Software Development: A Research Agenda,TRUE,hybrid,https://doi.org/10.1145/3708523,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1177/07439156241302279,AI-Based Financial Advice: An Ethical Discourse on AI-Based Financial Advice and Ethical Reflection Framework,TRUE,hybrid,https://doi.org/10.1177/07439156241302279,Block 1B: AI in research methodology,B,Previously failed — not retried
10.3390/e23050601,Information Structures for Causally Explainable Decisions,TRUE,gold,https://www.mdpi.com/1099-4300/23/5/601/pdf?version=1622345012,Block 2G: Structured prompts and epistemic quality,G,Previously failed — not retried
10.3390/educsci14080881,Blockchain and Artificial Intelligence Non-Formal Education System (BANFES),TRUE,gold,https://www.mdpi.com/2227-7102/14/8/881/pdf?version=1723459432,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1080/19345747.2023.2231440,Reflective Goal-setting Improves Academic Performance in Teacher and Business Education: A Large-scale Field Experiment,TRUE,hybrid,https://www.tandfonline.com/doi/pdf/10.1080/19345747.2023.2231440?needAccess=true&role=button,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1093/tbm/ibad065,Integrating health geography and behavioral economic principles to strengthen context-specific behavior change interventions,TRUE,hybrid,https://academic.oup.com/tbm/advance-article-pdf/doi/10.1093/tbm/ibad065/52458758/ibad065.pdf,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1145/3706598.3713218,Plan-Then-Execute: An Empirical Study of User Trust and Team Performance When Using LLM Agents As A Daily Assistant,TRUE,gold,https://doi.org/10.1145/3706598.3713218,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1002/ejsp.3014,Meta‐identification: Perceptions of others’ group identification shape group life,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ejsp.3014,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1002/leap.1623,The impact of <scp>AI</scp> on the post‐pandemic generation of early career researchers: What we know or can predict from the published literature,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/leap.1623,Block 2G: Structured prompts and epistemic quality,G,Previously failed — not retried
10.1073/pnas.2518443122,The simulation of judgment in LLMs,TRUE,hybrid,https://www.pnas.org/doi/pdf/10.1073/pnas.2518443122,Venue: PNAS,Venue,Previously failed — not retried
